tissue_or_cell_type,synonym
"megakaryocitic erythroyd progenitor (mep)","megakaryocyte-erythroid progenitor"
"whole worms","whole organism"
"normal cells of the uterine cervix art12751","uterine cervix"
"hes_h1_p25","embryonic stem cell"
"normal cells of the uterine cervix art12918","uterine cervix"
"middle brain region containing preoptic area/hypothalamus/thalamus","brain"
"msc-derived ipsc line 3","induced pluripotent stem cells"
"mononuclear cell","leukocytes, mononuclear"
"normal cells of the uterine cervix art2497","uterine cervix"
"normal cells of the uterine cervix art16109","uterine cervix"
"bj1-ips2","induced pluripotent stem cells"
"normal lung tissue","lung"
"normal cells of the uterine cervix art13767","uterine cervix"
"normal cells of the uterine cervix art60561","uterine cervix"
"tumor liver","liver neoplasms"
"hes_h9_p58_rep2","embryonic stem cell"
"pep1","UNKNOWN"
"human embryonic stem cell line","embryonic stem cell"
"stimulated cd14 monocytes","monocyte"
"human dermal fibroblasts from naonatal foreskin","fibroblast"
"cd34-ips4","induced pluripotent stem cells"
"primary acute lymphoblastic leukemia cells","leukemia, acute lymphoblastic"
"late-stage high-grade ovarian cancer","ovarian neoplasms"
"primary lung tumor","lung neoplasms"
"immortalized mouse myoblast","myoblast"
"superior temporal cortex (brodmann area 22, ba22)","temporal lobe"
"macrophage","macrophage"
"normal cells of the uterine cervix art13446","uterine cervix"
"liver tissue of six healthy liver donors","liver"
"cells of the uterine cervix 1483","uterine cervix"
"carcinoma, derived from the metastatic site, bone of a prostate cancer patient","prostatic neoplasms"
"cells of the uterine cervix 2780","uterine cervix"
"es-derived neuronal progenitor cells","neural stem cells"
"normal cells of the uterine cervix art9038","uterine cervix"
"human_blood_cd19","b lymphocytes"
"inner cell mass","inner cell mass of blastocyst"
"npc","neural stem cells"
"normal cells of the uterine cervix art11801","uterine cervix"
"cells of the uterine cervix 4144","uterine cervix"
"85% human blood, 15% mouse spleen","UNKNOWN"
"dispase separated epidermis","epidermis"
"hepatocellular carcinoma","hepatocellular carcinoma"
"normal cells of the uterine cervix art14569","uterine cervix"
"normal brain","brain"
"hes_hues48_p15","embryonic stem cell"
"heb16d_hues62_p18","embryonic stem cell"
"anterior putamen","putamen"
"mouse bone marrow","bone marrow"
"embryonic stem cell","embryonic stem cell"
"normal cells of the uterine cervix art609","uterine cervix"
"yeast cells","UNKNOWN"
"control myotubes","myotubes"
"cholinergic interneuron","interneuron"
"gat","UNKNOWN"
"cells of the uterine cervix 1408","uterine cervix"
"normal cells of the uterine cervix art5306","uterine cervix"
"normal cells of the uterine cervix art7874","uterine cervix"
"human dental pulp cells","dental pulp"
"frontal cortex","frontal lobe"
"car t cells","t lymphocytes"
"normal cells of the uterine cervix art8159","uterine cervix"
"lung fibroblast","fibroblast"
"the proximal region of the somatic gonad (psg) cells","gonads"
"whole body of group-housed females at 9 dph","whole organism"
"nucleated blood cells","blood cells"
"healthy white blood cells","leukocyte"
"normal cells of the uterine cervix art14472","uterine cervix"
"normal cells of the uterine cervix art60069","uterine cervix"
"brain_neurons","neuron"
"microglia","microglia"
"normal cells of the uterine cervix art23729","uterine cervix"
"normal cells of the uterine cervix art11913","uterine cervix"
"breast cancer liver metastasis","breast neoplasms"
"somatic.tissue","tissue"
"aged skin hair follicle stem cells","hair follicle"
"small intestine","small intestine"
"liver carcinoma cells","liver neoplasms"
"cd4+cd25- t","t lymphocytes"
"hfib2-ips5","induced pluripotent stem cells"
"normal pancreatic tissue","pancreas"
"brain cortex","cerebral cortex"
"promyelocytic leukemia cells","leukemia, promyelocytic, acute"
"cells of the uterine cervix 2706","uterine cervix"
"whole liver","liver"
"primary mouse embryonic fibroblasts (mefs)","fibroblast"
"normal cells of the uterine cervix art7352","uterine cervix"
"normal cells of the uterine cervix art15986","uterine cervix"
"bj1","fibroblast"
"mrc-5","fibroblast"
"pancreas","pancreas"
"frontal brain","frontal lobe"
"90% human blood, 10% mouse fat","UNKNOWN"
"normal cells of the uterine cervix art8406","uterine cervix"
"spheroids","multicellular spheroids"
"flexor hallucis longus","muscle"
"whole animal","whole organism"
"gastric adenocarcinoma cells","adenocarcinoma"
"brain astrocyte","astrocyte"
"na","UNKNOWN"
"stroma cells","stromal cells"
"liver non-tumor tissue","liver"
"cd 8 t cell","cd8-positive t-lymphocyte"
"leg squamous cell carcinoma","squamous cell carcinoma"
"prostate","prostate"
"peripheral blood lymphocytes","lymphocyte"
"lin-sca1+kit- bone marrow cells","bone marrow cells"
"whole blood","blood"
"mouse embryonic fibroblast","fibroblast"
"cells of the uterine cervix 1934","uterine cervix"
"penumbras tissue of brains","brain"
"nk cells","natural killer cells"
"neck squamous cell carcinoma","squamous cell carcinoma"
"lung","lung"
"root","plant root"
"hinsc","UNKNOWN"
"neutrophil","neutrophils"
"skeletal muscle stem cells","skeletal muscle satellite cells"
"multipotent progenitor (mpp)","multipotent stem cell"
"endothelial cells","endothelial cells"
"normal cells of the uterine cervix art945","uterine cervix"
"whole seedling","seedling"
"cells of the uterine cervix 5226","uterine cervix"
"normal kidney","kidney"
"oocytes","oocyte"
"normal cells of the uterine cervix art13193","uterine cervix"
"pancreatic cancer","pancreatic neoplasms"
"whole flies","whole organism"
"epithelial tissue","epithelium"
"scat","subcutaneous adipose tissue"
"paired normal adjacent","tissue"
"epithelial","epithelium"
"splenic cdc8","UNKNOWN"
"mrc5-derived ipsc line 7","induced pluripotent stem cells"
"normal cells of the uterine cervix art60419","uterine cervix"
"heart","heart"
"cd34-ips8","induced pluripotent stem cells"
"normal cells of the uterine cervix art61199","uterine cervix"
"esc","embryonic stem cell"
"etoposide-induced senescent (etis) cells","cells"
"brain, anterior","forebrain"
"normal cells of the uterine cervix art15114","uterine cervix"
"fore footpad skin","skin"
"mrc5","fibroblast"
"colon cancer cell line","colorectal neoplasms"
"third seedling leaf","plant leaves"
"es cell","embryonic stem cell"
"normal cells of the uterine cervix art7029","uterine cervix"
"breast muscle","pectoralis muscles"
"whole body of group-housed females at 35 dph","whole organism"
"granulocytes","granulocyte"
"liver of single-housed males at 7 wph","liver"
"cells of the uterine cervix 524","uterine cervix"
"normal lung","lung"
"esc-derived neuronal progenitor cells","neural stem cells"
"erythrocytes a (ery a)","erythrocyte"
"4 week old roots","plant root"
"breast cancer","breast neoplasms"
"cells of the uterine cervix 1826","uterine cervix"
"b cell","b lymphocytes"
"leukocyte","leukocyte"
"uterus intercaruncular","uterus"
"adipose stromal cell (asc) pre-adipocytes and adipocytes","mesenchymal stem cells"
"lymphocyte","lymphocyte"
"dental pulp cell","dental pulp"
"precompacted 8 cell stage embryos","embryo"
"mixed sample (non-demultiplexed) of ec, fb, and smc","UNKNOWN"
"right external oblique","external oblique muscle"
"fshd1 myoblasts","myoblasts"
"young skin hair follicle stem cells","hair follicle"
"whole body of group-housed males at 35 dph","whole organism"
"peripheral blood mononuclear cells (pbmc)","leukocytes, mononuclear"
"human peripheral blood mononuclear cells","leukocytes, mononuclear"
"breast fibroblast","fibroblast"
"rpe/choroids","choroid"
"distal lung","lung"
"mep","megakaryocyte-erythroid progenitor"
"whole body of single-housed males at 10 dph","whole organism"
"normal cells of the uterine cervix art20241","uterine cervix"
"cells of the uterine cervix 929","uterine cervix"
"healthy liver","liver"
"cd4 t cell","cd4-positive t-lymphocytes"
"breast","breast"
"dorsum","back"
"normal cells of the uterine cervix art12244","uterine cervix"
"dermis","dermis"
"normal cells of the uterine cervix art571","uterine cervix"
"cells of the uterine cervix 3358","uterine cervix"
"whole body of group-housed females at 28 dph","whole organism"
"np3","UNKNOWN"
"hsc","hematopoietic stem cell"
"cells of the uterine cervix 337","uterine cervix"
"embryonic stage 1.7","embryo"
"affinity purified cd71+ cells","cells"
"cells of the uterine cervix 3461","uterine cervix"
"hff fibroblasts","fibroblast"
"aorta_thoracic","thoracic aorta"
"ovarian epithelial","epithelium"
"immortalised mouse embryonic fibroblasts (mefs)","fibroblast"
"90% human blood, 10% mouse spleen","UNKNOWN"
"cmp","myeloid progenitor cell"
"normal human primary prostate stromal cells","stromal cells"
"colonic mucosa","intestinal mucosa"
"normal cells of the uterine cervix art10037","uterine cervix"
"25% human blood, 75% mouse spleen","UNKNOWN"
"fshd2 muscle biopsy","muscle"
"pep2","UNKNOWN"
"cells of the uterine cervix 1392","uterine cervix"
"brain cells","brain"
"normal cells of the uterine cervix art20198","uterine cervix"
"gills","gills"
"lmpp","lymphoid stem cells"
"normal cells of the uterine cervix art9983","uterine cervix"
"normal arm skin","skin"
"splenic cdc5","UNKNOWN"
"thymus","thymus"
"bone marrow macrophages","bone marrow-derived macrophages"
"embryonic stem cell, differentiated;neuralprogenitors.day22","neural stem cells"
"spleen","spleen"
"head","head"
"cells of the uterine cervix 1456","uterine cervix"
"female","UNKNOWN"
"in vitro activated b cells","b lymphocytes"
"aerial part","plant aerial part"
"skeletal muscle, gastrocnemius","gastrocnemius muscle"
"umbilical","umbilical cord"
"hfib2 fibroblasts","fibroblast"
"normal cells of the uterine cervix art14109","uterine cervix"
"normal breast tissue","breast"
"mixed sample (non-demultiplexed) of ec and smc","UNKNOWN"
"chest wall","chest wall"
"human embryonic stem cells","embryonic stem cell"
"normal cells of the uterine cervix art4895","uterine cervix"
"colon cancer cell line; dnmt3b & dnm1 ko","colorectal neoplasms"
"retinal neuron","retinal neuron"
"hes_h1_p30","embryonic stem cell"
"whole body of group-housed males at 13 dph","whole organism"
"car product","t lymphocytes"
"incisor pulp","dental pulp"
"cells of the uterine cervix 2227","uterine cervix"
"normal cells of the uterine cervix art12459","uterine cervix"
"embyonic stem cell","embryonic stem cell"
"hes_h1_p32","embryonic stem cell"
"breast variant human mammary epithelial cell","epithelial cells"
"non_tumor liver","liver"
"rectal_smooth_muscle","muscle, smooth"
"normal cells of the uterine cervix art17165","uterine cervix"
"normal liver","liver"
"cells of the uterine cervix 563","uterine cervix"
"human induced pluripotent stem cells","induced pluripotent stem cells"
"midbrain","midbrain"
"normal cells of the uterine cervix art4817","uterine cervix"
"normal tissue in pancreatic cancer sample","pancreas"
"lymph_node","lymph node"
"mixed 7 tissues","UNKNOWN"
"bj1 fibroblasts","fibroblast"
"mouse embryonic fibroblasts","fibroblast"
"normal cells of the uterine cervix art27142","uterine cervix"
"normal leg skin","skin"
"normal lip skin","skin"
"whole body of single-housed males at 17 dph","whole organism"
"whole lung dissociate","lung"
"normal cells of the uterine cervix art2133","uterine cervix"
"normal cells of the uterine cervix art19417","uterine cervix"
"cells of the uterine cervix 1227","uterine cervix"
"colon cancer","colorectal neoplasms"
"ipscs from kidney fibroblasts","induced pluripotent stem cells"
"aged skin epidermal stem cells","stem cell"
"male pronucleus","sperm"
"leaf tissue","plant leaves"
"whole body of group-housed females at 13 dph","whole organism"
"cd8+ t cells","cd8-positive t-lymphocyte"
"human skin fibroblast","fibroblast"
"human fibroblast","fibroblast"
"nephrogenic rest","nephroblastoma"
"normal cells of the uterine cervix art2092","uterine cervix"
"pancreatic cancer cell","pancreatic neoplasms"
"human embryonic lung fibroblasts","fibroblast"
"breast cancer skin  metastasis","breast neoplasms"
"fshd2 myotubes","myotubes"
"hfib2-ips5 cells","induced pluripotent stem cells"
"hepatoma cell","hepatoma"
"liver","liver"
"lesioned cartilage","cartilage"
"faps","UNKNOWN"
"astrocytes","astrocytes"
"mixture","UNKNOWN"
"normal cells of the uterine cervix art16563","uterine cervix"
"normal cells of the uterine cervix art23158","uterine cervix"
"coronary_artery","coronary artery"
"10% human blood, 90% mouse spleen","UNKNOWN"
"hbec-3kt","epithelial cells"
"neural tissue (midbrain and striatum)","nervous tissue"
"cells of the uterine cervix 55","uterine cervix"
"whole body of single-housed males at 21 dph","whole organism"
"kidney","kidney"
"adjacent non-tumor liver tissue","liver"
"normal cells of the uterine cervix art11874","uterine cervix"
"es-derived neural progenitor cells","neural stem cells"
"cells of the uterine cervix 1867","uterine cervix"
"mouse es cells","embryonic stem cell"
"mole","nevus"
"bg01 escs","embryonic stem cell"
"renal","kidney"
"mouse embryonic fibroblasts (mef)","fibroblast"
"hepatocyte","hepatocyte"
"normal cells of the uterine cervix art17887","uterine cervix"
"cells of the uterine cervix 440","uterine cervix"
"ovary of single-housed males at 8 wph","ovary"
"prec, normal cells","cells"
"hes_hues1_p28","embryonic stem cell"
"cells of the uterine cervix 1215","uterine cervix"
"brain_microglia","microglia"
"subcutaneous adipose","subcutaneous adipose tissue"
"hes_hues48_p23","embryonic stem cell"
"normal cells of the uterine cervix art13254","uterine cervix"
"mrc5-ips20","induced pluripotent stem cells"
"androgenetic haploid embryonic stem cells (ag-haescs)","embryonic stem cell"
"normal cells of the uterine cervix art22647","uterine cervix"
"bone marrow_yellow","yellow marrow"
"mixed cell culture","cell, cultured"
"heart ventricle","heart ventricle"
"cells of the uterine cervix 401","uterine cervix"
"dorsal root ganglion","dorsal root ganglion"
"normal cells of the uterine cervix art6314","uterine cervix"
"rpe-choroid","choroid"
"hematopoietic progenitors","hematopoietic progenitor cells"
"neural retina","retina"
"ovarian","ovary"
"liver of single-housed males at 14 wph","liver"
"interneuron, fast spiking","interneuron"
"75% human blood, 25% mouse spleen","UNKNOWN"
"bj fibroblasts","fibroblast"
"sorted cd45- tumour cells, macrophages (cd45+cd64+), cd45+ non-macrophage immune cells (cd45+cd64-), and dendritic cells (cd45+cd64-cd11c+mhc-ii+) in the tumour tissues","UNKNOWN"
"liver tumor tissue","liver neoplasms"
"np2","UNKNOWN"
"leaves no. 5-6th darkened for 5 days","plant leaves"
"epithelial cells","epithelial cells"
"normal cells of the uterine cervix art1013","uterine cervix"
"liver of group-housed males at 7 wph","liver"
"breast tumor","breast neoplasms"
"splenic cdc4","UNKNOWN"
"normal cells of the uterine cervix art14845","uterine cervix"
"soleus","soleus muscle"
"gastric surrounding normal tissue","stomach"
"tissue dissociated cells","cells"
"anterior caudate","caudate nucleus"
"marrow","bone marrow"
"human_blood_cd34","hematopoietic stem cell"
"skin, spleen, lung, liver","UNKNOWN"
"whole animals","whole organism"
"normal cells of the uterine cervix art4084","uterine cervix"
"splenic cdc2","UNKNOWN"
"90 d lactating gland","mammary gland"
"wi-38 fibroblasts","fibroblast"
"hct116 cell line","colorectal neoplasms"
"erythrocytes b (ery b)","erythrocyte"
"pancreatic cell lines including (bxpc-3, panc-1 and cfpac-1)","pancreatic neoplasms"
"cells of the uterine cervix 1823","uterine cervix"
"normal cells of the uterine cervix art14891","uterine cervix"
"normal scalp skin","scalp"
"long term hematopoietic stem cell (lt-hsc)","hematopoietic stem cell"
"bone marrow_red","red marrow"
"normal cells of the uterine cervix art10323","uterine cervix"
"normal cells of the uterine cervix art14457","uterine cervix"
"b lymphoblastoid, mouse embryonic stem cell","UNKNOWN"
"eye lid","eyelid"
"pupa","pupa"
"normal cells of the uterine cervix art18949","uterine cervix"
"cells of the uterine cervix 2123","uterine cervix"
"testis of group-housed males at 8 wph","testis"
"skeletal muscle near ceasarian","skeletal muscle"
"splenic cdc7","UNKNOWN"
"bladder cells","bladder"
"unk","UNKNOWN"
"testicular tissue","testis"
"whole organism","whole organism"
"abdominal musculature","abdominal muscle"
"normal cells of the uterine cervix art6595","uterine cervix"
"normal cells of the uterine cervix art9185","uterine cervix"
"gmp-b","granulocyte-macrophage progenitor cell"
"hydrothorax","pleural effusion"
"whole body of group-housed males at 21 dph","whole organism"
"cells of the uterine cervix 1447","uterine cervix"
"hfib2a","fibroblast"
"normal cells of the uterine cervix art28927","uterine cervix"
"adipose stromal cell (asc) adipocyte","adipocyte"
"b-cells","b lymphocytes"
"fat body","fat body"
"hes_h1_p60","embryonic stem cell"
"chronic myeloid leukemia cells","leukemia, chronic myelogenous"
"whole lung","lung"
"blood dna","blood"
"cerebrum","cerebrum"
"mrc5-derived ipsc line 20","induced pluripotent stem cells"
"normal cells of the uterine cervix art20542","uterine cervix"
"serum","blood serum"
"testis of group-housed males at 5 wph","testis"
"left ventricle","left ventricle"
"mait t cells","mait cells"
"liver tissue of six healthy donors","liver"
"an immortalized but non-transformed ovarian epithelial cell line","ovary"
"normal cells of the uterine cervix art15027","uterine cervix"
"induced pluripotent stem cell, undifferentiated","induced pluripotent stem cells"
"bone","bone"
"mammary/parenchyma","mammary gland"
"granmono","granulocyte-macrophage progenitors"
"bladder cancer cell lines","bladder neoplasms"
"normal cells of the uterine cervix art9933","uterine cervix"
"polar body","polar body"
"hips_27e_p32","induced pluripotent stem cells"
"gwat","white adipose tissue"
"nrbc","erythroblasts"
"uncovered leaves","plant leaves"
"brain, posterior","hindbrain"
"whole body of single-housed females at 10 dph","whole organism"
"ex vivo t lymphocytes","t lymphocytes"
"extraembryonic ectoderm","ectoderm"
"whole body of single-housed females at 21 dph","whole organism"
"normal","tissue"
"scalp squamous cell carcinoma","squamous cell carcinoma"
"skeletal muscle stem","skeletal muscle satellite cells"
"grade iv, adenocarcinoma, derived from the metastatic site, brain of a prostate cancer patient","prostatic neoplasms"
"normal cells of the uterine cervix art9369","uterine cervix"
"posterior putamen","putamen"
"haematopoietic stem cells","hematopoietic stem cell"
"cd45 positive immune cells","leukocyte"
"left vastus lateralis","quadriceps femoris"
"nsc","neural stem cells"
"fibroblasts","fibroblast"
"normal cells of the uterine cervix art4319","uterine cervix"
"epithelial adenocarcinoma","adenocarcinoma"
"5% human blood, 95% mouse fat","UNKNOWN"
"cells of the uterine cervix 1342","uterine cervix"
"cord blood","cord blood"
"astrocyte","astrocytes"
"msc-derived ipsc line 1","induced pluripotent stem cells"
"whole kidney","kidney"
"mouse haploid embryonic stem cells","embryonic stem cell"
"endothelial cells isolation(cd31 positive selection)","endothelial cells"
"ovary of group-housed males at 11 wph","ovary"
"medulla_oblongata","medulla oblongata"
"normal cells of the uterine cervix art723","uterine cervix"
"hips_27b_p31","induced pluripotent stem cells"
"cafs","cancer-associated fibroblast"
"whole brain","brain"
"cd45-pdgfra+ thymic stroma cells","stromal cells"
"adrenal","adrenal gland"
"normal cells of the uterine cervix art12863","uterine cervix"
"gmp-a","granulocyte-macrophage progenitor cell"
"normal ovarian surface epithelium","epithelium"
"whole testes","testis"
"aortic","aorta"
